,date,desc,amount,category
0,2022-09-01,APPLE.COM/BILL           866-712-7753 ON ,-79.09,Purchases
1,2022-09-02,LCBO/RAO #0393           LONDON       ON  (APPLE PAY) ,-9.4,Partying
2,2022-09-02,UBER* TRIP               TORONTO      ON ,-18.85,Transportation
3,2022-09-02,LOST LOVE                LONDON       ON  (APPLE PAY) ,-19.55,Partying
4,2022-09-02,LOST LOVE                LONDON       ON  (APPLE PAY) ,-19.55,Partying
5,2022-09-02,LOST LOVE                LONDON       ON  (APPLE PAY) ,-29.33,Partying
6,2022-09-03,STATION PARK CONVENIENCE LONDON       ON  (APPLE PAY) ,-4.19,Purchases
7,2022-09-03,STARBUCKS 04955          LONDON       ON  (APPLE PAY) ,-5.59,Dining Out
8,2022-09-03,Amazon Web Services      www.amazon.caON ,-13.91,Dining Out
9,2022-09-04,UBER* TRIP               TORONTO      ON ,-9.89,Transportation
10,2022-09-04,AMZN Mktp CA*1V00F35G0   WWW.AMAZON.CAON ,-25.98,Dining Out
11,2022-09-05,LONESTAR TEXAS GRILLLO   LONDON       ON  (APPLE PAY) ,-30.26,Dining Out
12,2022-09-06,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-11.29,Dining Out
14,2022-09-07,AMZN Mktp CA*1V46M8QW2   WWW.AMAZON.CAON ,-11.29,Dining Out
15,2022-09-07,IVEY BUSINESS SCHOOL     LONDON       ON ,-14.1,Dining Out
16,2022-09-07,FLYING SQUIRREL          LONDON       ON  (APPLE PAY) ,-29.95,Non-Routine
17,2022-09-07,AMZN Mktp CA*1V27C6QO2   WWW.AMAZON.CAON ,-49.66,Dining Out
18,2022-09-08,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-12.77,Dining Out
19,2022-09-08,MARBLE SLAB CREAMERY     LONDON       ON  (APPLE PAY) ,-7.38,Dining Out
20,2022-09-09,FAMOUS PLAYER 7422QPS    LONDON       ON  (APPLE PAY) ,-11.86,Dining Out
21,2022-09-10,TIM HORTONS #0422        LONDON       ON  (APPLE PAY) ,-12.98,Dining Out
22,2022-09-10,UBER CANADA/UBERTRIP     TORONTO      ON ,-13.14,Transportation
23,2022-09-10,UBER CANADA/UBERTRIP     TORONTO      ON ,-13.47,Transportation
24,2022-09-10,DENNYS DRIVE IN          GRAND BEND   ON  (APPLE PAY) ,-18.81,Dining Out
25,2022-09-10,UBER CANADA/UBERTRIP     TORONTO      ON ,-18.83,Transportation
26,2022-09-10,LOBLAWS #27              LONDON       ON  (APPLE PAY) ,-41.85,Groceries
27,2022-09-11,Oculus                   650-5434800  CA ,-39.54,Purchases
28,2022-09-12,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
30,2022-09-13,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.62,Dining Out
31,2022-09-13,IVEY STARBUCKS           LONDON       ON  (APPLE PAY) ,-8.19,Dining Out
32,2022-09-14,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
33,2022-09-14,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-4.14,Dining Out
34,2022-09-15,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-3.1,Dining Out
35,2022-09-15,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-6.43,Dining Out
36,2022-09-15,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-9.03,Dining Out
37,2022-09-15,LOS LOBOS                LONDON       ON  (APPLE PAY) ,-20.78,Dining Out
38,2022-09-16,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.64,Dining Out
39,2022-09-16,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-11.29,Dining Out
40,2022-09-16,UBER CANADA/UBERTRIP     TORONTO      ON ,-14.83,Transportation
41,2022-09-16,UBER* TRIP               TORONTO      ON ,-20.01,Transportation
42,2022-09-16,2022 IVEY CLUBS WEE...   DOWNTOWN TOROON ,-25.75,Non-Routine
43,2022-09-18,VIA RAIL CANADA INC.//   MONTREAL     QC ,-131.08,Non-Routine
44,2022-09-18,APPLE.COM/BILL           866-712-7753 ON ,-237.29,Purchases
45,2022-09-19,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.64,Dining Out
46,2022-09-19,DOLLARAMA #1075          LONDON       ON  (APPLE PAY) ,-7.18,Dining Out
47,2022-09-19,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-8.85,Dining Out
48,2022-09-19,LOBLAWS #27              LONDON       ON  (APPLE PAY) ,-64.84,Groceries
50,2022-09-20,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-5.64,Dining Out
51,2022-09-21,VIA RAIL CANADA INC.//   MONTREAL     QC ,-65.54,Non-Routine
52,2022-09-22,PHO LEE RESTAURANT       LONDON       ON  (APPLE PAY) ,-31.17,Dining Out
54,2022-09-23,APPLE.COM/BILL           866-712-7753 ON ,-4.51,Purchases
55,2022-09-23,LOBLAWS #27              LONDON       ON  (APPLE PAY) ,-4.51,Groceries
56,2022-09-23,IVEY BUSINESS SCHOOL     LONDON       ON  (APPLE PAY) ,-4.66,Dining Out
